game,song_name,credit
F-Zero X Expansion Kit,Rainbow Road,Static
Famicom Detective Club: The Missing Heir,Staff Roll,WandringMinstrel
Famicom Disk System BIOS,Disk System,WandringMinstrel
Famicom Grand Prix II: 3D Hot Rally,Opening,Radiak488417
Balloon Kid,Boss Defeated,Jacopo Tore
Balloon Kid,Stage 2,LeviR.star
Balloon Kid,Stage Clear,Alessio Corrias
Balloon Kid,Stages 1 & 5,LeviR.star
Castlevania II: Belmont's Revenge,New Messiah (Crystal Castle),Atcero
Castlevania II: Belmont's Revenge,Praying Hands (Cloud Castle),Tobbeh99
Castlevania II: Belmont's Revenge,Psycho Warrior (Rock Castle),Atcero
Castlevania II: Belmont's Revenge,Ripe Seeds (Plant Castle),Atcero
Castlevania Legends,Prologue,LeviR.star
Castlevania: The Adventure,Battle of the Holy,LeviR.star
Castlevania: The Adventure,Darkness,LeviR.star
Castlevania: The Adventure,Death Fair,LeviR.star
Castlevania: The Adventure,Evil Devil,LeviR.star
Castlevania: The Adventure,Gate to Hell,LeviR.star
Castlevania: The Adventure,Kill! Kill! Kill!,LeviR.star
Castlevania: The Adventure,Miscellaneous Short Themes,LeviR.star
Castlevania: The Adventure,Revenge,LeviR.star
Castlevania: The Adventure,"Theme from ""The Legend of Dracula"" & Reprise",LeviR.star
Donkey Kong,Chase Scene,LeviR.star
Donkey Kong,Showdown at the Tower,Maelstrom
Donkey Kong Land,Boss Battle,WiiMan96
Donkey Kong Land,File Select,Thomas Wilson
Donkey Kong Land,Kremlantis,Jack
Donkey Kong Land,Title Screen,Thomas Wilson
Donkey Kong Land 2,Boss Battle,Thomas Wilson
Donkey Kong Land 2,Title Screen,Thomas Wilson
Donkey Kong Land III,Bonus Time!,Olimar12345
Donkey Kong Land III,Rockface Rumble,Olimar12345
Final Fantasy Adventure,Battle 2,FireArrow
Final Fantasy Adventure,Endless Battlefield,FireArrow
Final Fantasy Adventure,Jema's Realization,FireArrow
Final Fantasy Adventure,Legend Forever,Echo
Final Fantasy Adventure,Mana Palace,FireArrow
Final Fantasy Adventure,Mana's Mission,FireArrow
Final Fantasy Adventure,Royal Palace Theme,FireArrow
Final Fantasy Legend II,Ending Theme 1,FireArrow
Final Fantasy Legend II,Lethal Strike,FireArrow
Final Fantasy Legend II,The Tranquil Earth,FireArrow
Game Boy BIOS,Startup,Th3Gavst3r
Gargoyle's Quest: Ghosts 'n Goblins,Boss Battle,Don Valentino
Gargoyle's Quest: Ghosts 'n Goblins,Demon Border,Don Valentino
Gargoyle's Quest: Ghosts 'n Goblins,Hell Field,Don Valentino
Gargoyle's Quest: Ghosts 'n Goblins,King Breager's Castle,Don Valentino
Gargoyle's Quest: Ghosts 'n Goblins,Password,Don Valentino
Gargoyle's Quest: Ghosts 'n Goblins,Village,Don Valentino
Kid Icarus: Of Myths and Monsters,Final Battle with Orcos,BrainyLucario
Kid Icarus: Of Myths and Monsters,Lose Life,BrainyLucario
Kirby's Block Ball,Blockworld Map,LeviR.star
Kirby's Block Ball,Cappy's Stage (Stage 1),LeviR.star
Kirby's Block Ball,King Dedede,LeviR.star
Kirby's Block Ball,Mr. Shine & Mr. Bright's Stage (Stage 5),LeviR.star
Kirby's Dream Land,Boss,AwesomeYears
Kirby's Dream Land,Bubbly Clouds,Jesse J.K.
Kirby's Dream Land,Castle Lololo,Sekter77
Kirby's Dream Land,Ending Theme,AwesomeYears
Kirby's Dream Land,Float Islands,Latios212
